區議會選區 Constituency,,,點票站 Counting Station,,,候選人編號 Candidiate Number,,,,,
,,,,,,1,2,3,4,5,6
S07,石蔭,SHEK YAM,S0701,聖公會主愛小學,SKH Chu Oi Primary School,2907,2853,--,--,--,--
S08,安蔭,ON YAM,S0801,慈幼葉漢小學,Salesian Yip Hon Primary School,2714,1831,--,--,--,--
S09,石籬南,SHEK LEI SOUTH,S0901,石籬 (一) 邨室內活動室,Shek Lei (I) Estate Indoor Activity Room,2974,3141,--,--,--,--
S10,石籬北,SHEK LEI NORTH,S1001,石籬社區會堂,Shek Lei Community Hall,2981,1459,--,--,--,--
S11,大白田,TAI PAK TIN,S1101,香港道教聯合會圓玄學院第一中學,HKTA The Yuen Yuen Institute No. 1 Secondary School,2884,1997,--,--,--,--
S12,葵芳,KWAI FONG,S1201,佛教林金殿紀念小學,Buddhist Lim Kim Tian Memorial Primary School,3301,1624,--,--,--,--
S13,華麗,WAH LAI,S1301,華景山莊北停車場地下會議室,"G/F, Conference Room, Northern Car Park, Wonderland Villas",159,308,554,--,--,--
,,,S1302,迦密愛禮信中學,Carmel Alison Lam Foundation Secondary School,48,123,148,--,--,--
,,,S1303,東華三院高可寧紀念小學,TWGHs Ko Ho Ning Memorial Primary School,56,276,1428,--,--,--
S15,祖堯,CHO YIU,S1501,香港四邑商工總會陳南昌紀念中學,The HKSYC&IA Chan Nam Chong Memorial College,2986,580,1230,--,--,--
S16,興芳,HING FONG,S1601,葵芳社區會堂,Kwai Fong Community Hall,2629,2701,--,--,--,--
S18,葵盛西邨,KWAI SHING WEST ESTATE,S1801,葵盛社區會堂,Kwai Shing Community Hall,3157,2146,--,--,--,--
S19,安灝,ON HO,S1901,地利亞(閩僑)英文小學,Delia (Man Kiu) English Primary School,2039,1375,--,--,--,--
,,,S1902,中華基督教會燕京書院,CCC Yenching College,982,1292,--,--,--,--
S21,青衣邨,TSING YI ESTATE,S2101,荃灣商會學校,Tsuen Wan Trade Association Primary School,1311,655,54,2419,--,--
S22,翠怡,GREENFIELD,S2201,東華三院吳祥川紀念中學,TWGHs S. C. Gaw Memorial College,705,206,--,--,--,--
,,,S2202,保良局世德小學,PLK Castar Primary School,2762,372,--,--,--,--
S23,長青,CHEUNG CHING,S2301,長青社區中心,Cheung Ching Estate Community Centre,1342,408,--,--,--,--
,,,S2302,美景花園自修室,"Study Room, Mayfair Gardens",1881,865,--,--,--,--
S25,盛康,SHING HONG,S2501,樂善堂梁植偉紀念中學,Lok Sin Tong Leung Chik Wai Memorial School,990,2345,--,--,--,--
S26,青衣南,TSING YI SOUTH,S2601,藍澄會,Rambler Crest Club House,432,384,--,--,--,--
,,,S2602,聖公會青衣主恩小學,SKH Tsing Yi Chu Yan Primary School,1222,2830,--,--,--,--
S27,長亨,CHEUNG HANG,S2701,長亨社區會堂,Cheung Hang Community Hall,165,1838,2814,168,--,--
S28,青發,CHING FAT,S2801,長發社區中心,Cheung Fat Estate Community Centre,233,2283,282,2648,--,--
S29,長安,CHEUNG ON,S2901,中華傳道會呂明才小學,CNEC Lui Ming Choi Primary School,2359,1467,554,--,--,--
T01,大嶼山,LANTAU,T0101,中華基督教會大澳小學,CCC Tai O Primary School,572,385,10,34,--,--
,,,T0104,醫療輔助隊東涌訓練中心,Auxiliary Medical Service Tung Chung Training Centre,264,32,80,45,--,--
,,,T0107,梅窩體育館,Mui Wo Sports Centre,621,135,575,296,--,--
,,,T0108,塘福鄉公所,Tong Fuk Village Office,136,40,9,38,--,--
,,,T0109,杯澳公立學校,Bui O Public School,302,61,53,73,--,--
T02,逸東邨北,YAT TUNG ESTATE NORTH,T0201,東涌天主教學校,Tung Chung Catholic School,900,3061,--,--,--,--
T03,逸東邨南,YAT TUNG ESTATE SOUTH,T0301,香港教育工作者聯會黃楚標學校,HKFEW Wong Cho Bau School,2001,2469,--,--,--,--
T04,東涌北,TUNG CHUNG NORTH,T0401,東涌社區會堂,Tung Chung Community Hall,1929,1897,--,--,--,--
T05,東涌南,TUNG CHUNG SOUTH,T0501,香港教育工作者聯會黃楚標中學,HKFEW Wong Cho Bau Secondary School,1917,2161,--,--,--,--
T06,愉景灣,DISCOVERY BAY,T0601,聖公會偉倫小學,SKH Wei Lun Primary School,860,1176,113,--,--,--
T09,長洲南,CHEUNG CHAU SOUTH,T0901,佛教慧因法師紀念中學,Buddhist Wai Yan Memorial College,326,528,965,--,--,--
,,,T0902,明愛陳震夏郊野學園(聖保祿校舍),Caritas Chan Chun Ha Field Studies Centre (St.Paul Campus),134,310,522,--,--,--
T10,長洲北,CHEUNG CHAU NORTH,T1001,長洲體育館,Cheung Chau Sports Centre,656,210,--,--,--,--
,,,T1002,國民學校,Kwok Man School,1025,270,--,--,--,--
